Sizes set; Q; Iterations; V0; V1; V2; V3; V4; V5; V6
5,5,5,6,5,4;367;9;  v10,v22,v2,v13,v11; v3,v15,v21,v27,v29; v12,v1,v5,v8,v26; v16,v6,v9,v19,v25,v18; v0,v7,v17,v28,v14; v20,v24,v4,v23;
5,5,5,7,4,4;366;8;  v10,v4,v22,v28,v0; v3,v15,v21,v27,v29; v12,v1,v5,v8,v26; v16,v6,v19,v25,v18,v17,v7; v11,v13,v23,v2; v14,v20,v24,v9;
5,5,6,4,4,6;363;10;  v10,v4,v22,v6,v13; v3,v15,v21,v27,v29; v12,v1,v5,v8,v26,v18; v9,v2,v16,v28; v23,v14,v24,v20; v17,v7,v11,v19,v25,v0;
5,5,6,4,5,5;371;8;  v10,v4,v22,v13,v6; v3,v15,v21,v27,v29; v12,v1,v5,v8,v26,v18; v9,v2,v16,v20; v23,v0,v14,v17,v24; v7,v19,v25,v11,v28;
5,5,6,4,6,4;368;12;  v10,v4,v22,v6,v25; v3,v15,v21,v27,v29; v12,v1,v5,v8,v26,v18; v2,v16,v11,v19; v23,v13,v14,v24,v20,v9; v7,v0,v28,v17;
5,5,6,5,4,5;370;13;  v10,v22,v28,v6,v19; v3,v21,v29,v9,v18; v12,v1,v5,v26,v15,v2; v16,v4,v24,v8,v17; v23,v11,v13,v20; v7,v14,v25,v0,v27;
5,5,6,5,5,4;368;11;  v10,v4,v22,v6,v13; v3,v15,v21,v27,v29; v12,v1,v5,v26,v18,v19; v9,v16,v20,v14,v24; v23,v11,v17,v2,v8; v7,v25,v0,v28;
5,5,6,6,4,4;366;11;  v4,v24,v20,v9,v14; v3,v15,v21,v27,v29; v12,v1,v8,v26,v18,v16; v2,v6,v10,v22,v5,v13; v23,v11,v17,v19; v0,v7,v25,v28;
5,5,7,4,4,5;364;12;  v10,v4,v22,v6,v17; v3,v21,v27,v29,v25; v12,v1,v5,v26,v15,v19,v28; v9,v16,v18,v8; v23,v11,v13,v2; v7,v14,v0,v24,v20;
5,5,7,4,5,4;365;13;  v10,v4,v22,v6,v17; v3,v21,v27,v29,v25; v12,v1,v5,v26,v15,v19,v2; v9,v16,v18,v8; v23,v13,v14,v20,v24; v7,v0,v28,v11;
5,5,7,5,4,4;370;10;  v10,v4,v22,v6,v17; v3,v21,v27,v29,v24; v12,v1,v5,v8,v20,v26,v15; v9,v16,v19,v18,v28; v23,v11,v2,v13; v14,v0,v7,v25;
5,6,4,4,4,7;362;14;  v4,v22,v28,v10,v0; v3,v21,v27,v29,v25,v6; v5,v12,v15,v1; v2,v11,v13,v23; v20,v9,v14,v24; v8,v7,v17,v26,v19,v16,v18;
5,6,4,4,5,6;364;16;  v4,v22,v10,v6,v17; v3,v15,v29,v5,v12,v1; v18,v8,v16,v26; v2,v11,v13,v23; v20,v9,v14,v24,v21; v7,v19,v25,v0,v28,v27;
5,6,4,4,6,5;370;13;  v4,v22,v28,v17,v0; v3,v15,v21,v27,v29,v25; v5,v10,v6,v19; v2,v11,v13,v23; v20,v1,v7,v9,v14,v24; v26,v18,v16,v8,v12;
5,6,4,4,7,4;362;16;  v4,v22,v10,v6,v17; v21,v27,v0,v25,v28,v7; v5,v12,v18,v15; v2,v11,v13,v23; v20,v1,v9,v14,v24,v3,v29; v26,v19,v8,v16;
5,6,4,5,4,6;369;12;  v10,v4,v22,v6,v13; v3,v21,v27,v29,v9,v25; v5,v12,v18,v15; v2,v11,v20,v24,v23; v1,v19,v26,v28; v8,v7,v17,v14,v0,v16;
5,6,4,5,5,5;372;12;  v10,v22,v6,v2,v5; v3,v15,v16,v21,v27,v29; v12,v23,v18,v8; v13,v20,v24,v14,v4; v1,v9,v19,v26,v28; v7,v17,v25,v0,v11;
5,6,4,5,6,4;371;13;  v10,v4,v22,v6,v25; v3,v21,v27,v29,v24,v14; v5,v12,v15,v1; v2,v11,v13,v20,v23; v9,v19,v26,v16,v18,v8; v7,v17,v0,v28;
5,6,4,6,4,5;367;14;  v10,v4,v22,v6,v17; v3,v21,v27,v29,v9,v14; v5,v12,v15,v1; v2,v11,v13,v20,v24,v23; v8,v26,v16,v18; v7,v25,v19,v0,v28;
5,6,4,6,5,4;372;14;  v10,v4,v22,v6,v25; v3,v21,v27,v29,v0,v14; v5,v12,v15,v1; v2,v11,v13,v20,v24,v23; v8,v7,v17,v26,v16; v19,v9,v28,v18;
5,6,4,7,4,4;372;14;  v10,v4,v22,v6,v25; v3,v16,v21,v27,v29,v15; v12,v18,v26,v1; v2,v11,v13,v20,v24,v23,v14; v8,v7,v17,v0; v19,v9,v28,v5;
5,6,5,4,4,6;369;12;  v10,v22,v6,v13,v4; v3,v15,v16,v21,v27,v29; v5,v11,v23,v2,v19; v20,v24,v9,v28; v1,v26,v18,v12; v8,v7,v17,v25,v14,v0;
5,6,5,4,5,5;373;12;  v10,v22,v28,v6,v19; v3,v15,v16,v21,v27,v29; v5,v11,v23,v2,v13; v20,v24,v4,v14; v1,v9,v26,v18,v12; v8,v7,v17,v25,v0;
5,6,5,4,6,4;373;13;  v10,v22,v6,v18,v25; v3,v15,v16,v21,v27,v29; v5,v11,v23,v2,v13; v20,v24,v4,v14; v1,v9,v19,v26,v12,v8; v7,v17,v0,v28;
5,6,5,5,4,5;368;13;  v10,v4,v22,v6,v17; v3,v15,v16,v21,v27,v29; v12,v18,v1,v26,v8; v13,v20,v24,v23,v14; v9,v28,v2,v5; v7,v25,v19,v0,v11;
5,6,5,5,5,4;374;15;  v10,v22,v28,v6,v19; v3,v27,v29,v9,v18,v12; v5,v11,v23,v2,v15; v1,v13,v20,v24,v14; v8,v17,v26,v16,v4; v25,v0,v21,v7;
5,6,5,6,4,4;373;16;  v10,v22,v2,v5,v15; v3,v16,v21,v27,v29,v4; v11,v23,v13,v14,v20; v1,v26,v12,v19,v8,v17; v7,v0,v24,v28; v6,v25,v18,v9;
5,6,6,4,4,5;370;14;  v10,v22,v5,v2,v15; v3,v27,v29,v4,v24,v12; v0,v11,v25,v21,v7,v19; v6,v28,v9,v18; v8,v17,v26,v16; v1,v14,v20,v13,v23;
5,6,6,4,5,4;372;13;  v10,v22,v5,v2,v15; v3,v27,v29,v4,v24,v12; v0,v11,v23,v25,v21,v7; v6,v19,v28,v9; v8,v17,v26,v16,v18; v1,v14,v20,v13;
5,6,6,5,4,4;370;11;  v10,v4,v22,v13,v2; v3,v15,v27,v29,v12,v5; v0,v11,v25,v21,v7,v14; v6,v9,v19,v18,v28; v8,v17,v26,v16; v1,v20,v24,v23;
5,6,7,4,4,4;361;17;  v10,v4,v22,v6,v13; v3,v15,v27,v29,v12,v5; v0,v11,v17,v25,v21,v7,v14; v18,v16,v8,v26; v1,v19,v28,v9; v20,v24,v23,v2;
5,7,4,4,4,6;364;15;  v10,v22,v6,v2,v5; v3,v15,v16,v29,v4,v27,v25; v0,v21,v28,v9; v8,v26,v18,v12; v19,v7,v11,v17; v1,v13,v14,v20,v24,v23;
5,7,4,4,5,5;364;15;  v10,v22,v6,v2,v13; v21,v27,v29,v4,v25,v0,v3; v5,v12,v15,v1; v8,v26,v16,v18; v19,v7,v11,v28,v17; v14,v20,v23,v24,v9;
5,7,4,4,6,4;367;12;  v10,v22,v28,v6,v9; v21,v27,v29,v4,v25,v0,v3; v5,v12,v15,v18; v8,v17,v26,v16; v19,v1,v2,v11,v13,v23; v14,v20,v24,v7;
5,7,4,5,4,5;366;12;  v10,v22,v28,v6,v9; v21,v27,v29,v25,v0,v7,v14; v12,v15,v3,v1; v8,v17,v26,v18,v16; v19,v2,v11,v5; v13,v20,v23,v24,v4;
5,7,4,5,5,4;366;12;  v10,v22,v28,v6,v9; v21,v27,v29,v25,v0,v7,v14; v5,v12,v15,v3; v8,v17,v26,v18,v16; v19,v2,v11,v13,v23; v20,v24,v4,v1;
5,7,4,6,4,4;372;12;  v10,v22,v6,v5,v2; v3,v15,v16,v27,v29,v4,v12; v0,v25,v18,v21; v8,v7,v17,v26,v28,v19; v1,v11,v13,v23; v14,v20,v24,v9;
5,7,5,4,4,5;380;11;  v10,v22,v5,v2,v15; v3,v16,v21,v27,v29,v4,v26; v0,v25,v18,v7,v28; v6,v13,v19,v11; v1,v14,v20,v9; v8,v17,v24,v23,v12;
5,7,5,4,5,4;373;15;  v10,v22,v5,v2,v15; v3,v9,v29,v26,v18,v1,v12; v0,v25,v27,v21,v7; v6,v13,v19,v11; v17,v20,v4,v16,v8; v24,v23,v28,v14;
5,7,5,5,4,4;373;10;  v10,v22,v5,v2,v15; v3,v9,v16,v21,v27,v29,v4; v0,v11,v25,v7,v17; v1,v6,v13,v19,v28; v26,v8,v12,v18; v23,v14,v20,v24;
5,7,6,4,4,4;372;15;  v10,v22,v5,v2,v15; v3,v16,v27,v29,v4,v24,v12; v0,v11,v7,v19,v17,v28; v6,v9,v18,v25; v8,v26,v23,v21; v1,v14,v20,v13;
6,4,4,4,5,7;365;12;  v10,v13,v22,v6,v2,v11; v21,v0,v27,v25; v15,v5,v12,v29; v1,v20,v3,v4; v23,v14,v24,v9,v28; v16,v17,v19,v26,v7,v18,v8;
6,4,4,4,6,6;367;12;  v10,v13,v22,v6,v2,v11; v21,v0,v27,v25; v15,v5,v12,v29; v1,v20,v3,v4; v23,v8,v14,v17,v24,v7; v16,v19,v26,v18,v28,v9;
6,4,4,4,7,5;366;12;  v10,v4,v13,v22,v6,v2; v21,v27,v25,v29; v15,v5,v12,v18; v1,v9,v20,v3; v23,v11,v14,v17,v24,v7,v0; v26,v16,v19,v28,v8;
6,4,4,5,4,7;367;11;  v10,v4,v13,v22,v2,v6; v21,v27,v25,v29; v15,v5,v12,v8; v1,v9,v20,v18,v3; v16,v19,v28,v26; v7,v11,v14,v17,v24,v23,v0;
6,4,4,5,5,6;363;13;  v10,v13,v22,v2,v11,v23; v21,v0,v27,v28; v29,v3,v9,v18; v1,v26,v12,v5,v15; v16,v6,v8,v19,v25; v7,v17,v24,v14,v20,v4;
6,4,4,5,6,5;364;15;  v10,v13,v22,v2,v11,v23; v21,v0,v28,v7; v29,v3,v9,v18; v1,v26,v12,v5,v15; v16,v6,v8,v19,v25,v27; v17,v24,v20,v4,v14;
6,4,4,5,7,4;371;11;  v10,v4,v13,v22,v2,v11; v21,v0,v27,v12; v15,v5,v29,v3; v1,v20,v14,v25,v7; v16,v6,v8,v17,v19,v26,v18; v24,v23,v28,v9;
6,4,4,6,4,6;368;10;  v10,v4,v13,v22,v6,v2; v21,v0,v27,v25; v15,v5,v29,v3; v1,v9,v19,v26,v28,v7; v16,v8,v18,v12; v11,v17,v23,v24,v14,v20;
6,4,4,6,5,5;362;16;  v10,v4,v13,v22,v6,v2; v14,v20,v24,v23; v29,v3,v21,v27; v1,v19,v26,v12,v5,v15; v16,v8,v25,v18,v9; v7,v11,v17,v0,v28;
6,4,4,6,6,4;368;11;  v10,v13,v22,v2,v11,v23; v21,v0,v27,v12; v15,v5,v29,v3; v1,v9,v19,v26,v18,v28; v16,v6,v8,v17,v25,v4; v7,v24,v20,v14;
6,4,4,7,4,5;369;10;  v10,v4,v13,v22,v6,v2; v21,v0,v27,v25; v15,v5,v29,v3; v1,v9,v19,v20,v26,v28,v7; v16,v8,v18,v12; v11,v17,v24,v23,v14;
6,4,4,7,5,4;364;12;  v10,v13,v22,v2,v11,v6; v21,v0,v27,v25; v15,v5,v12,v29; v1,v19,v26,v18,v7,v28,v9; v16,v8,v17,v4,v3; v24,v23,v14,v20;
6,4,5,4,4,7;369;8;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v14; v15,v1,v5,v12,v29; v2,v20,v23,v24; v11,v7,v19,v25; v9,v16,v17,v8,v26,v18,v28;
6,4,5,4,5,6;370;8;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v14; v15,v1,v5,v12,v29; v2,v20,v23,v24; v11,v7,v17,v19,v25; v8,v9,v16,v26,v18,v28;
6,4,5,4,6,5;361;11;  v10,v4,v13,v22,v3,v6; v21,v27,v25,v29; v15,v1,v5,v12,v2; v20,v23,v24,v14; v11,v7,v17,v19,v28,v0; v9,v16,v26,v8,v18;
6,4,5,4,7,4;368;9;  v10,v13,v22,v28,v9,v2; v21,v27,v29,v6; v15,v1,v5,v12,v3; v20,v23,v24,v4; v11,v7,v17,v19,v25,v14,v0; v8,v16,v26,v18;
6,4,5,5,4,6;373;10;  v4,v22,v9,v24,v3,v29; v21,v0,v27,v28; v15,v1,v5,v12,v20; v2,v11,v23,v13,v10; v8,v16,v26,v18; v14,v6,v7,v17,v25,v19;
6,4,5,5,5,5;369;11;  v10,v4,v13,v22,v6,v3; v21,v27,v25,v29; v15,v1,v5,v12,v19; v2,v11,v20,v23,v24; v9,v8,v16,v26,v18; v7,v14,v17,v0,v28;
6,4,5,5,6,4;367;10;  v10,v4,v13,v22,v6,v3; v21,v27,v25,v29; v15,v1,v5,v12,v18; v2,v11,v20,v23,v24; v9,v8,v16,v19,v26,v28; v7,v14,v17,v0;
6,4,5,6,4,5;365;14;  v10,v4,v22,v17,v6,v8; v21,v27,v29,v25; v15,v1,v5,v12,v26; v2,v20,v23,v24,v13,v14; v9,v18,v16,v3; v7,v19,v28,v0,v11;
6,4,5,6,5,4;373;11;  v10,v4,v22,v6,v3,v18; v21,v0,v27,v14; v15,v1,v5,v12,v29; v2,v11,v20,v23,v24,v13; v8,v7,v17,v26,v16; v25,v19,v9,v28;
6,4,5,7,4,4;370;12;  v10,v4,v13,v22,v28,v3; v21,v0,v14,v25; v15,v1,v5,v12,v26; v2,v11,v20,v23,v24,v19,v7; v8,v17,v27,v16; v6,v18,v9,v29;
6,4,6,4,4,6;373;10;  v10,v4,v22,v28,v9,v24; v21,v27,v29,v25; v15,v1,v5,v12,v3,v20; v23,v11,v13,v2; v8,v16,v26,v18; v14,v6,v7,v17,v19,v0;
6,4,6,4,5,5;365;13;  v10,v13,v22,v6,v2,v11; v21,v27,v25,v29; v15,v1,v5,v12,v3,v18; v23,v20,v24,v4; v8,v16,v19,v26,v17; v7,v14,v0,v28,v9;
6,4,6,4,6,4;364;12;  v10,v13,v22,v6,v2,v11; v21,v27,v25,v29; v15,v1,v5,v12,v3,v18; v23,v20,v24,v4; v9,v8,v16,v19,v26,v28; v7,v14,v17,v0;
6,4,6,5,4,5;365;10;  v10,v13,v22,v6,v2,v11; v21,v0,v27,v25; v15,v1,v5,v12,v29,v3; v23,v14,v20,v24,v4; v9,v19,v18,v28; v7,v8,v17,v26,v16;
6,4,6,5,5,4;366;11;  v10,v13,v22,v6,v2,v11; v21,v0,v27,v25; v15,v1,v5,v12,v29,v3; v23,v14,v20,v24,v4; v9,v19,v18,v28,v26; v7,v8,v17,v16;
6,4,6,6,4,4;361;13;  v10,v13,v22,v6,v2,v11; v21,v27,v25,v29; v15,v1,v5,v12,v3,v26; v23,v14,v17,v20,v24,v4; v9,v8,v16,v18; v7,v19,v28,v0;
6,4,7,4,4,5;359;17;  v10,v4,v13,v22,v17,v6; v21,v27,v25,v29; v15,v1,v5,v3,v12,v26,v18; v20,v24,v14,v9; v8,v16,v2,v23; v7,v19,v28,v0,v11;
6,4,7,4,5,4;364;14;  v10,v13,v22,v6,v2,v11; v21,v0,v14,v25; v15,v1,v5,v12,v29,v3,v27; v23,v20,v24,v4; v8,v17,v26,v18,v16; v19,v9,v28,v7;
6,4,7,5,4,4;371;10;  v10,v4,v13,v22,v6,v11; v21,v0,v27,v14; v15,v1,v2,v5,v12,v29,v3; v23,v8,v20,v24,v17; v26,v7,v19,v28; v9,v25,v18,v16;
6,5,4,4,4,7;369;10;  v10,v4,v13,v22,v6,v3; v21,v0,v23,v14,v17; v8,v16,v27,v25; v15,v2,v5,v11; v24,v9,v20,v29; v7,v19,v1,v26,v18,v28,v12;
6,5,4,4,5,6;364;11;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v29,v25; v8,v16,v17,v23; v15,v2,v5,v11; v24,v9,v14,v20,v7; v19,v26,v1,v18,v28,v12;
6,5,4,4,6,5;361;12;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v25,v29; v8,v16,v17,v23; v15,v2,v5,v11; v24,v9,v14,v20,v28,v7; v1,v19,v18,v26,v12;
6,5,4,4,7,4;360;12;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v29,v25; v8,v16,v17,v19; v15,v2,v5,v11; v24,v7,v9,v14,v20,v28,v23; v1,v18,v12,v26;
6,5,4,5,4,6;368;12;  v10,v4,v13,v22,v6,v3; v0,v28,v7,v19,v17; v8,v12,v16,v26; v15,v2,v5,v11,v23; v1,v14,v20,v24; v25,v29,v9,v18,v27,v21;
6,5,4,5,5,5;366;13;  v10,v4,v13,v22,v6,v3; v28,v7,v26,v19,v18; v8,v16,v17,v23; v15,v2,v5,v11,v12; v1,v9,v14,v20,v24; v29,v25,v27,v21,v0;
6,5,4,5,6,4;372;11;  v10,v4,v13,v22,v6,v17; v21,v0,v27,v29,v25; v8,v16,v26,v19; v15,v2,v5,v11,v12; v1,v9,v14,v20,v3,v18; v7,v24,v28,v23;
6,5,4,6,4,5;363;13;  v10,v4,v13,v22,v6,v17; v21,v0,v27,v29,v25; v8,v16,v18,v26; v15,v1,v2,v5,v3,v12; v19,v7,v11,v28; v9,v24,v14,v20,v23;
6,5,4,6,5,4;367;11;  v10,v4,v13,v22,v6,v17; v21,v3,v29,v9,v18; v8,v12,v16,v27; v15,v1,v2,v5,v26,v19; v7,v25,v28,v0,v11; v24,v14,v20,v23;
6,5,4,7,4,4;367;11;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v7,v14; v8,v16,v17,v23; v15,v1,v2,v5,v20,v26,v12; v19,v25,v18,v11; v29,v9,v24,v28;
6,5,5,4,4,6;366;13;  v10,v13,v22,v2,v11,v23; v21,v0,v14,v28,v7; v8,v16,v17,v20,v4; v24,v29,v3,v27; v6,v25,v18,v9; v5,v15,v19,v26,v1,v12;
6,5,5,4,5,5;369;17;  v10,v4,v13,v22,v6,v3; v21,v0,v7,v17,v14; v8,v16,v27,v25,v18; v9,v29,v28,v19; v2,v11,v23,v20,v24; v15,v1,v26,v5,v12;
6,5,5,4,6,4;374;12;  v10,v4,v13,v22,v6,v3; v21,v0,v27,v14,v7; v8,v16,v17,v20,v23; v24,v9,v29,v28; v2,v5,v19,v25,v11,v15; v1,v26,v18,v12;
6,5,5,5,4,5;375;14;  v10,v4,v13,v22,v6,v3; v21,v0,v7,v17,v14; v8,v12,v16,v20,v27; v24,v9,v29,v23,v28; v25,v18,v11,v19; v15,v1,v26,v5,v2;
6,5,5,5,5,4;378;13;  v10,v4,v13,v22,v6,v3; v21,v0,v7,v17,v14; v8,v16,v27,v26,v18; v24,v9,v29,v23,v28; v2,v5,v19,v25,v11; v15,v1,v20,v12;
6,5,5,6,4,4;369;13;  v10,v4,v13,v22,v6,v2; v21,v0,v14,v17,v7; v8,v12,v16,v26,v18; v24,v9,v29,v28,v23,v20; v1,v5,v15,v3; v19,v25,v11,v27;
6,5,6,4,4,5;372;14;  v10,v4,v13,v22,v6,v3; v21,v0,v25,v14,v7; v8,v12,v16,v17,v27,v18; v24,v9,v29,v28; v2,v11,v23,v20; v15,v19,v1,v26,v5;
6,5,6,4,5,4;372;14;  v10,v4,v13,v22,v6,v3; v21,v0,v25,v14,v7; v8,v16,v17,v27,v26,v18; v24,v9,v29,v28; v2,v19,v11,v23,v20; v15,v1,v12,v5;
6,5,6,5,4,4;368;12;  v10,v4,v13,v22,v6,v2; v21,v0,v23,v14,v17; v8,v12,v16,v27,v26,v18; v24,v9,v29,v28,v20; v1,v5,v15,v3; v19,v25,v11,v7;
6,5,7,4,4,4;367;13;  v10,v4,v13,v22,v6,v3; v21,v0,v25,v14,v18; v8,v7,v16,v17,v27,v26,v19; v24,v9,v29,v28; v2,v11,v23,v20; v5,v1,v12,v15;
6,6,4,4,4,6;372;13;  v10,v4,v22,v6,v27,v25; v21,v0,v11,v23,v28,v13; v2,v15,v5,v12; v9,v29,v3,v24; v1,v14,v20,v7; v17,v26,v8,v16,v18,v19;
6,6,4,4,5,5;369;13;  v10,v4,v22,v6,v27,v25; v21,v0,v11,v23,v28,v13; v2,v15,v5,v12; v9,v29,v18,v3; v14,v20,v24,v7,v17; v8,v26,v16,v19,v1;
6,6,4,4,6,4;378;9;  v10,v4,v22,v6,v27,v25; v21,v0,v11,v23,v28,v13; v2,v15,v16,v19; v9,v29,v18,v3; v5,v1,v12,v14,v20,v24; v7,v8,v17,v26;
6,6,4,5,4,5;370;11;  v10,v13,v5,v2,v11,v23; v21,v0,v27,v28,v4,v22; v15,v16,v19,v3; v6,v9,v25,v29,v18; v8,v12,v26,v1; v14,v20,v24,v7,v17;
